"107/04/09","10,724,224","1,208,624,836","112.50","114.00","112.00","114.00","+2.00","5,980",
"107/04/10","9,955,722","1,132,894,808","113.50","114.50","113.50","114.50","+0.50","6,751",
"107/04/11","10,727,997","1,225,040,158","114.50","115.00","113.50","114.00","-0.50","5,449",
"107/04/12","8,704,790","992,927,060","114.00","115.00","113.00","114.00"," 0.00","4,618",
"107/04/13","6,502,240","736,499,707","113.50","114.00","112.50","113.50","-0.50","3,174",
"107/04/16","4,645,198","524,718,874","113.00","113.50","112.50","113.00","-0.50","2,750",
"107/04/17","6,203,423","701,359,955","113.00","113.50","112.50","113.50","+0.50","3,198",
"107/04/18","4,714,981","537,857,834","113.50","114.50","113.50","114.50","+1.00","3,241",
"107/04/19","6,097,516","695,840,324","114.00","114.50","113.50","114.00","-0.50","3,146",
"107/04/20","4,520,810","514,718,402","114.00","114.50","113.50","113.50","-0.50","2,688",
"107/04/23","7,554,015","852,150,695","113.00","113.50","112.50","112.50","-1.00","3,052",
"107/04/24","10,693,712","1,192,221,356","112.50","112.50","111.00","111.00","-1.50","3,968",
"107/04/25","14,312,485","1,577,683,835","111.00","111.00","110.00","110.50","-0.50","4,559",
"107/04/26","9,068,999","1,010,720,860","110.50","112.00","110.50","111.50","+1.00","3,506",
"107/04/27","4,527,149","510,571,735","112.50","113.00","112.00","113.00","+1.50","2,758",
"107/04/30","5,608,229","632,713,877","113.00","113.00","112.50","113.00"," 0.00","2,316",
"107/05/02","7,936,955","891,205,915","112.50","113.00","112.00","112.00","-1.00","3,323",
"107/05/03","6,330,420","707,255,040","112.00","112.00","111.50","111.50","-0.50","3,102",
"107/05/04","4,109,722","459,137,864","111.00","112.00","111.00","111.50"," 0.00","2,316",
"107/05/07","4,919,754","549,783,448","112.00","112.50","111.50","112.00","+0.50","2,847",
"107/05/08","7,608,487","849,182,544","111.50","112.00","111.00","112.00"," 0.00","2,100",
"107/05/09","9,308,608","1,033,404,134","111.50","111.50","110.00","110.00","-2.00","3,673",
"107/05/10","16,739,475","1,823,981,775","109.50","110.00","108.50","108.50","-1.50","5,651",
"107/05/11","8,114,287","884,510,783","109.00","109.50","108.50","109.00","+0.50","4,696",
"107/05/14","8,209,397","895,726,926","109.00","109.50","109.00","109.00"," 0.00","4,660",
